Speaker,phone,voicing,place,n,mean_CoG,sd_CoG,mean_spec_SD,mean_skew,mean_kurt,mean_dur_ms,debate
Clinton,f,voiceless,labiodental,112,1919.0,1483.0,1347.0,1.91,9.24,90.5,2016 Oct — Trump vs Clinton
Clinton,s,voiceless,alveolar,398,2816.0,2283.0,1217.0,0.98,10.79,77.0,2016 Oct — Trump vs Clinton
Clinton,v,voiced,labiodental,120,1168.0,988.0,892.0,2.47,14.27,95.3,2016 Oct — Trump vs Clinton
Clinton,z,voiced,alveolar,205,1530.0,1399.0,1193.0,2.27,13.15,86.6,2016 Oct — Trump vs Clinton
Clinton,ð,voiced,dental,170,1295.0,1312.0,1059.0,2.72,15.57,100.9,2016 Oct — Trump vs Clinton
Clinton,ʃ,voiceless,postalveolar,24,1610.0,1349.0,926.0,2.25,14.89,76.0,2016 Oct — Trump vs Clinton
Clinton,ʒ,voiced,postalveolar,3,541.0,32.0,534.0,3.93,22.38,63.8,2016 Oct — Trump vs Clinton
Clinton,θ,voiceless,dental,35,1611.0,1401.0,1313.0,3.08,22.86,75.9,2016 Oct — Trump vs Clinton
Trump,f,voiceless,labiodental,74,2478.0,1713.0,1622.0,1.95,13.95,77.0,2016 Oct — Trump vs Clinton
Trump,s,voiceless,alveolar,236,2996.0,1794.0,1527.0,1.14,6.67,83.3,2016 Oct — Trump vs Clinton
Trump,v,voiced,labiodental,42,1269.0,1327.0,1046.0,3.53,26.76,81.4,2016 Oct — Trump vs Clinton
Trump,z,voiced,alveolar,113,2161.0,1536.0,1606.0,1.52,7.41,86.5,2016 Oct — Trump vs Clinton
Trump,ð,voiced,dental,62,2055.0,1630.0,1552.0,1.99,9.47,115.2,2016 Oct — Trump vs Clinton
Trump,ʃ,voiceless,postalveolar,41,2694.0,1319.0,1430.0,1.29,5.15,76.9,2016 Oct — Trump vs Clinton
Trump,θ,voiceless,dental,24,1906.0,1868.0,1454.0,3.07,23.19,68.1,2016 Oct — Trump vs Clinton
Biden,f,voiceless,labiodental,46,1915.0,1483.0,1642.0,2.17,11.25,82.9,2020 #1 Sep — Trump vs Biden
Biden,s,voiceless,alveolar,212,1762.0,1561.0,1154.0,2.36,15.58,72.0,2020 #1 Sep — Trump vs Biden
Biden,v,voiced,labiodental,61,798.0,428.0,647.0,3.64,27.55,110.1,2020 #1 Sep — Trump vs Biden
Biden,z,voiced,alveolar,87,964.0,801.0,965.0,3.44,21.38,80.5,2020 #1 Sep — Trump vs Biden
Biden,ð,voiced,dental,82,1123.0,1204.0,878.0,3.39,21.7,101.8,2020 #1 Sep — Trump vs Biden
Biden,ʃ,voiceless,postalveolar,23,1845.0,1511.0,1215.0,2.12,14.77,77.4,2020 #1 Sep — Trump vs Biden
Biden,θ,voiceless,dental,12,1387.0,1092.0,1360.0,3.34,27.86,70.8,2020 #1 Sep — Trump vs Biden
Trump,f,voiceless,labiodental,107,2258.0,1633.0,1614.0,1.9,13.75,75.3,2020 #1 Sep — Trump vs Biden
Trump,s,voiceless,alveolar,396,2970.0,1920.0,1412.0,1.12,7.89,72.3,2020 #1 Sep — Trump vs Biden
Trump,v,voiced,labiodental,93,1048.0,1012.0,807.0,3.1,22.28,82.5,2020 #1 Sep — Trump vs Biden
Trump,z,voiced,alveolar,180,1592.0,1356.0,1381.0,2.3,13.2,89.1,2020 #1 Sep — Trump vs Biden
Trump,ð,voiced,dental,135,1482.0,1476.0,1177.0,2.7,15.69,107.8,2020 #1 Sep — Trump vs Biden
Trump,ʃ,voiceless,postalveolar,77,2301.0,1462.0,1276.0,1.64,7.04,72.8,2020 #1 Sep — Trump vs Biden
Trump,θ,voiceless,dental,25,1474.0,1269.0,1536.0,2.66,13.97,65.8,2020 #1 Sep — Trump vs Biden
Biden,f,voiceless,labiodental,58,1950.0,1258.0,1620.0,1.87,10.17,73.1,2020 #2 Oct — Trump vs Biden
Biden,s,voiceless,alveolar,266,2511.0,1635.0,1236.0,1.18,7.06,74.6,2020 #2 Oct — Trump vs Biden
Biden,v,voiced,labiodental,55,1120.0,1039.0,706.0,2.72,19.71,75.6,2020 #2 Oct — Trump vs Biden
Biden,z,voiced,alveolar,156,1473.0,1285.0,1179.0,2.11,10.09,78.8,2020 #2 Oct — Trump vs Biden
Biden,ð,voiced,dental,95,1531.0,1259.0,1182.0,2.03,11.22,97.9,2020 #2 Oct — Trump vs Biden
Biden,ʃ,voiceless,postalveolar,40,2090.0,1253.0,940.0,1.64,9.53,74.4,2020 #2 Oct — Trump vs Biden
Biden,θ,voiceless,dental,24,1260.0,1199.0,912.0,2.64,15.08,68.3,2020 #2 Oct — Trump vs Biden
Trump,f,voiceless,labiodental,75,1777.0,1187.0,1511.0,2.24,13.56,75.7,2020 #2 Oct — Trump vs Biden
Trump,s,voiceless,alveolar,289,2897.0,1770.0,1333.0,1.07,7.09,74.5,2020 #2 Oct — Trump vs Biden
Trump,v,voiced,labiodental,83,990.0,846.0,898.0,3.69,30.86,73.2,2020 #2 Oct — Trump vs Biden
Trump,z,voiced,alveolar,155,1850.0,1446.0,1380.0,2.11,13.62,76.6,2020 #2 Oct — Trump vs Biden
Trump,ð,voiced,dental,76,1674.0,1387.0,1328.0,2.42,13.83,92.1,2020 #2 Oct — Trump vs Biden
Trump,ʃ,voiceless,postalveolar,43,2141.0,1318.0,1136.0,1.63,6.15,68.6,2020 #2 Oct — Trump vs Biden
Trump,θ,voiceless,dental,29,1571.0,1237.0,1515.0,2.29,11.93,70.9,2020 #2 Oct — Trump vs Biden
Biden,f,voiceless,labiodental,23,1458.0,936.0,1689.0,1.97,4.71,70.1,2024 Jun — Trump vs Biden
Biden,s,voiceless,alveolar,154,3415.0,1763.0,1474.0,0.05,2.85,67.4,2024 Jun — Trump vs Biden
Biden,v,voiced,labiodental,15,1606.0,1523.0,1205.0,2.18,11.08,79.6,2024 Jun — Trump vs Biden
Biden,z,voiced,alveolar,33,2420.0,1516.0,1689.0,1.03,3.63,61.7,2024 Jun — Trump vs Biden
Biden,ð,voiced,dental,54,1784.0,1550.0,1514.0,1.64,5.71,99.6,2024 Jun — Trump vs Biden
Biden,ʃ,voiceless,postalveolar,19,2516.0,1059.0,1288.0,0.97,1.86,75.0,2024 Jun — Trump vs Biden
Biden,ʒ,voiced,postalveolar,3,2796.0,953.0,2172.0,0.13,-1.03,43.3,2024 Jun — Trump vs Biden
Biden,θ,voiceless,dental,11,1896.0,1472.0,1809.0,1.42,3.39,61.4,2024 Jun — Trump vs Biden
Trump,f,voiceless,labiodental,64,2309.0,1697.0,1409.0,1.7,13.57,65.9,2024 Jun — Trump vs Biden
Trump,s,voiceless,alveolar,246,3461.0,1999.0,1393.0,0.51,10.28,73.2,2024 Jun — Trump vs Biden
Trump,v,voiced,labiodental,40,918.0,901.0,788.0,4.11,40.69,78.2,2024 Jun — Trump vs Biden
Trump,z,voiced,alveolar,117,2120.0,1601.0,1717.0,1.56,10.88,73.1,2024 Jun — Trump vs Biden
Trump,ð,voiced,dental,62,1974.0,1890.0,1285.0,2.16,18.64,98.2,2024 Jun — Trump vs Biden
Trump,ʃ,voiceless,postalveolar,34,2273.0,1460.0,1388.0,1.48,8.98,73.3,2024 Jun — Trump vs Biden
Trump,ʒ,voiced,postalveolar,3,1259.0,1020.0,1280.0,2.85,10.89,64.3,2024 Jun — Trump vs Biden
Trump,θ,voiceless,dental,21,1356.0,1159.0,1468.0,2.24,11.35,72.7,2024 Jun — Trump vs Biden
Harris,f,voiceless,labiodental,73,1755.0,1331.0,1284.0,2.0,10.15,88.9,2024 Sep — Trump vs Harris
Harris,s,voiceless,alveolar,227,2535.0,2049.0,1358.0,1.4,11.86,84.4,2024 Sep — Trump vs Harris
Harris,v,voiced,labiodental,90,1071.0,935.0,754.0,3.0,19.18,96.9,2024 Sep — Trump vs Harris
Harris,z,voiced,alveolar,161,1150.0,978.0,1059.0,3.04,17.11,96.3,2024 Sep — Trump vs Harris
Harris,ð,voiced,dental,120,992.0,1032.0,876.0,3.61,24.78,97.6,2024 Sep — Trump vs Harris
Harris,ʃ,voiceless,postalveolar,44,1928.0,1332.0,1048.0,1.77,14.76,79.0,2024 Sep — Trump vs Harris
Harris,ʒ,voiced,postalveolar,3,1161.0,816.0,1345.0,3.13,14.49,46.0,2024 Sep — Trump vs Harris
Harris,θ,voiceless,dental,19,1025.0,522.0,1010.0,3.55,29.78,97.3,2024 Sep — Trump vs Harris
Trump,f,voiceless,labiodental,150,1614.0,1338.0,1189.0,2.34,17.28,79.4,2024 Sep — Trump vs Harris
Trump,s,voiceless,alveolar,535,2601.0,1993.0,1177.0,1.36,13.07,71.4,2024 Sep — Trump vs Harris
Trump,v,voiced,labiodental,179,917.0,785.0,681.0,3.48,30.95,89.8,2024 Sep — Trump vs Harris
Trump,z,voiced,alveolar,292,1407.0,1276.0,1129.0,2.51,17.65,76.8,2024 Sep — Trump vs Harris
Trump,ð,voiced,dental,259,1151.0,1148.0,964.0,3.15,25.07,89.4,2024 Sep — Trump vs Harris
Trump,ʃ,voiceless,postalveolar,110,1933.0,1460.0,1117.0,1.92,11.93,73.3,2024 Sep — Trump vs Harris
Trump,ʒ,voiced,postalveolar,2,676.0,88.0,826.0,4.56,27.5,55.7,2024 Sep — Trump vs Harris
Trump,θ,voiceless,dental,41,888.0,811.0,753.0,3.14,20.36,76.8,2024 Sep — Trump vs Harris
