Speaker,phone,voicing,place,n,mean_VOT,sd_VOT,median_VOT,mean_closure_ms,debate
Clinton,b,voiced,bilabial,130,3.09,12.14,0.5,74.67,2016 Oct — Trump vs Clinton
Clinton,d,voiced,alveolar,115,3.41,10.46,0.5,70.09,2016 Oct — Trump vs Clinton
Clinton,g,voiced,velar,70,1.25,2.83,0.5,72.2,2016 Oct — Trump vs Clinton
Clinton,k,voiceless,velar,102,3.41,7.81,0.5,79.53,2016 Oct — Trump vs Clinton
Clinton,p,voiceless,bilabial,78,3.94,8.52,0.5,76.99,2016 Oct — Trump vs Clinton
Clinton,t,voiceless,alveolar,217,5.15,13.92,0.5,97.16,2016 Oct — Trump vs Clinton
Trump,b,voiced,bilabial,117,2.85,10.19,0.5,83.5,2016 Oct — Trump vs Clinton
Trump,d,voiced,alveolar,89,0.92,2.28,0.5,65.44,2016 Oct — Trump vs Clinton
Trump,g,voiced,velar,62,0.88,1.93,0.5,66.18,2016 Oct — Trump vs Clinton
Trump,k,voiceless,velar,66,2.86,6.02,0.5,67.7,2016 Oct — Trump vs Clinton
Trump,p,voiceless,bilabial,68,4.51,8.24,0.5,68.21,2016 Oct — Trump vs Clinton
Trump,t,voiceless,alveolar,161,4.88,14.02,0.5,78.83,2016 Oct — Trump vs Clinton
Biden,b,voiced,bilabial,80,1.84,6.93,0.5,79.37,2020 #1 Sep — Trump vs Biden
Biden,d,voiced,alveolar,81,1.27,3.83,0.5,64.93,2020 #1 Sep — Trump vs Biden
Biden,g,voiced,velar,26,5.33,15.22,0.5,77.51,2020 #1 Sep — Trump vs Biden
Biden,k,voiceless,velar,75,2.67,6.96,0.5,68.12,2020 #1 Sep — Trump vs Biden
Biden,p,voiceless,bilabial,61,2.89,5.62,0.5,73.09,2020 #1 Sep — Trump vs Biden
Biden,t,voiceless,alveolar,116,2.22,9.02,0.5,97.84,2020 #1 Sep — Trump vs Biden
Trump,b,voiced,bilabial,179,1.53,4.67,0.5,78.24,2020 #1 Sep — Trump vs Biden
Trump,d,voiced,alveolar,243,1.13,2.69,0.5,71.95,2020 #1 Sep — Trump vs Biden
Trump,g,voiced,velar,96,1.09,4.28,0.5,68.41,2020 #1 Sep — Trump vs Biden
Trump,k,voiceless,velar,114,5.02,13.25,0.5,66.88,2020 #1 Sep — Trump vs Biden
Trump,p,voiceless,bilabial,168,3.11,8.05,0.5,72.73,2020 #1 Sep — Trump vs Biden
Trump,t,voiceless,alveolar,261,4.31,14.11,0.5,79.52,2020 #1 Sep — Trump vs Biden
Biden,b,voiced,bilabial,92,2.79,9.84,0.5,63.02,2020 #2 Oct — Trump vs Biden
Biden,d,voiced,alveolar,117,1.0,2.63,0.5,70.45,2020 #2 Oct — Trump vs Biden
Biden,g,voiced,velar,39,1.44,2.95,0.5,71.53,2020 #2 Oct — Trump vs Biden
Biden,k,voiceless,velar,65,4.78,11.13,0.5,66.75,2020 #2 Oct — Trump vs Biden
Biden,p,voiceless,bilabial,75,2.91,7.47,0.5,72.57,2020 #2 Oct — Trump vs Biden
Biden,t,voiceless,alveolar,179,4.88,13.5,0.5,79.35,2020 #2 Oct — Trump vs Biden
Trump,b,voiced,bilabial,113,2.61,9.32,0.5,71.12,2020 #2 Oct — Trump vs Biden
Trump,d,voiced,alveolar,134,1.07,3.0,0.5,69.48,2020 #2 Oct — Trump vs Biden
Trump,g,voiced,velar,51,5.73,21.96,0.5,73.48,2020 #2 Oct — Trump vs Biden
Trump,k,voiceless,velar,82,5.12,10.42,0.5,73.88,2020 #2 Oct — Trump vs Biden
Trump,p,voiceless,bilabial,100,3.16,7.25,0.5,68.76,2020 #2 Oct — Trump vs Biden
Trump,t,voiceless,alveolar,197,3.09,8.55,0.5,75.83,2020 #2 Oct — Trump vs Biden
Biden,b,voiced,bilabial,91,2.63,11.53,0.5,69.43,2024 Jun — Trump vs Biden
Biden,d,voiced,alveolar,105,1.56,5.92,0.5,73.34,2024 Jun — Trump vs Biden
Biden,g,voiced,velar,28,0.55,0.31,0.5,63.83,2024 Jun — Trump vs Biden
Biden,k,voiceless,velar,81,5.12,12.38,0.5,57.24,2024 Jun — Trump vs Biden
Biden,p,voiceless,bilabial,57,1.63,5.65,0.5,65.06,2024 Jun — Trump vs Biden
Biden,t,voiceless,alveolar,139,3.05,10.1,0.5,73.5,2024 Jun — Trump vs Biden
Trump,b,voiced,bilabial,168,2.45,10.67,0.5,72.72,2024 Jun — Trump vs Biden
Trump,d,voiced,alveolar,180,0.94,2.75,0.5,65.05,2024 Jun — Trump vs Biden
Trump,g,voiced,velar,67,0.75,1.66,0.5,64.19,2024 Jun — Trump vs Biden
Trump,k,voiceless,velar,127,4.24,14.17,0.5,66.07,2024 Jun — Trump vs Biden
Trump,p,voiceless,bilabial,129,1.96,5.32,0.5,63.66,2024 Jun — Trump vs Biden
Trump,t,voiceless,alveolar,211,2.3,9.06,0.5,73.0,2024 Jun — Trump vs Biden
Harris,b,voiced,bilabial,102,2.06,6.75,0.5,82.96,2024 Sep — Trump vs Harris
Harris,d,voiced,alveolar,102,2.8,9.96,0.5,73.74,2024 Sep — Trump vs Harris
Harris,g,voiced,velar,14,1.29,2.51,0.5,79.38,2024 Sep — Trump vs Harris
Harris,k,voiceless,velar,71,2.44,7.08,0.5,71.1,2024 Sep — Trump vs Harris
Harris,p,voiceless,bilabial,44,2.11,5.68,0.5,76.91,2024 Sep — Trump vs Harris
Harris,t,voiceless,alveolar,128,6.84,15.61,0.5,91.46,2024 Sep — Trump vs Harris
Trump,b,voiced,bilabial,226,1.72,6.88,0.5,72.54,2024 Sep — Trump vs Harris
Trump,d,voiced,alveolar,231,1.56,5.39,0.5,62.47,2024 Sep — Trump vs Harris
Trump,g,voiced,velar,96,2.04,11.48,0.5,65.65,2024 Sep — Trump vs Harris
Trump,k,voiceless,velar,155,5.07,12.1,0.5,67.57,2024 Sep — Trump vs Harris
Trump,p,voiceless,bilabial,130,2.9,6.43,0.5,65.46,2024 Sep — Trump vs Harris
Trump,t,voiceless,alveolar,296,4.26,12.49,0.5,75.18,2024 Sep — Trump vs Harris
